Title,URL,Content
News Feeds,https://www.bbc.com/sport/15890345,"What is RSS?In a world heaving under the weight of billions of web pages, keeping up to date with the information you want can be a drag.Wouldn't it be better to have the latest news and features delivered directly to you, rather than clicking from site to site?Using RSS (Really Simple Syndication) allows you to see when sites from all over the internet have added new content. You can get the latest headlines and articles (or even audio files, photographs or video) in one place, as soon as they are published, without having to remember to visit each site every day.RSS takes the hassle out of staying up-to-date, by showing you the very latest information that you are interested in.RSS feeds are just a special kind of web page, designed to be read by computers rather than people. It might help to think of them as the free, internet version of the old-fashioned ticker-tape news wire machines.Not all websites currently provide RSS and not all sections of the BBC or BBC Sport website are available as feeds.How do I start using RSS feeds?In general, the first thing you need is something called a news reader.This is a piece of software that checks RSS feeds and lets you read any new articles that have been added to them. There are many different versions, some of which are accessed using a browser, and some of which are downloadable applications. Browser-based news readers let you catch up with your RSS feed subscriptions from any computer, whereas downloadable applications let you store them on your main computer, in the same way that you either download your e-mail using Outlook, or keep it on a web-based service like Hotmail.Once you have chosen a news reader, all you have to do is to decide what content you want to receive in your news reader, by finding and subscribing to the relevant RSS feeds. For example, if you would like the latest BBC Sport Cricket stories, simply visit the Cricket section and you will notice an orange RSS button.Most modern browsers, including Firefox, Opera, Internet Explorer, Safari and Chrome, automatically check for RSS feeds for you when you visit a website, and display the orange RSS icon when they find one. This can make subscribing to RSS feeds much easier. For more details on these, please check their websites.How do I get a news reader?There is a range of different news readers available and new versions are appearing all the time.Different news readers work on different operating systems, so you will need to choose one that will work with your computer.Once you have chosen a news reader, all you have to do is to decide what content you want it to receive.If you click on the RSS button you can subscribe to the feed in various ways, including by dragging the URL of the feed into your news reader or by cutting and pasting the same URL into a new feed in your news reader.Using BBC Sport RSS feeds on your siteIf you run your own website, you can use RSS feeds to display the latest headlines from other sites on your site.We encourage the use of BBC Sport RSS feeds as part of a website, subject to ourTerms of Use.However, we do require that the proper format and attribution is used when BBC Sport content appears. The attribution text should read ""BBC Sport"" or ""From BBC Sport"" as appropriate. You may not use any BBC logo or other BBC trademark.We reserve the right to prevent the distribution of BBC Sport content. Please read ourTerms of Usefor further instructions.The BBC does not accept any liability for its RSS feeds. Please see theTerms of Usefor full details.Feeds from other BBC websitesFor information on BBC News RSS feeds, pleaseplease head to BBC News RSS feeds."
Help & FAQs,https://www.bbc.com/sport/15561348,"If you have a question about BBC Sport, please visit the relevant page from the options below first.SPORTS COVERAGETo see which live events BBC 5 Live and 5 Live Sports Extra are commentating on in the week ahead, pleasevisit the BBC Radio 5 Live schedule pageCATCH-UPTo view all our TV and Red Button sports programming available on iPlayer, pleasevisit the BBC iPlayer Sport page.To listen to all our radio sports programming and podcasts, pleaseVisit the BBC Sounds Sport page.MOBILE APPFor information on the mobile app, including where you can download it from and details of recent updates pleasevisit the mobile app information page.COMPLAINTS & FEEDBACKIf you wish to make a formal complaint, please go to ourcomplaints website.Any feedback you have on our TV, radio and online offering should also be sent via the complaints website so that it is properly recorded in the BBC's audience log. OurBBC editorial guidelinesare also available online.QUESTION NOT COVERED HERE?See if your question has been answered by the mainBBC Contact site."
England and Wales drawn in same tough Euro 2025 group,https://www.bbc.com/sport/football/articles/cjwlnxydd45o,"Defending champions England and debutants Wales have been drawn in the same group for Euro 2025 in Switzerland, with France and the Netherlands joining them.The Lionesses were in pot two for the draw so were always going to face either hosts Switzerland or one of the other top teams. They avoided being in the same group as 2023 World Cup winners Spain or eight-time Euros winners Germany but still face a tough assignment before the knockout stage.England and Wales will meet in the final round of Group D fixtures on Sunday, 13 July in St Gallen.Sarina Wiegman's Lionesses are ranked fourth in the world, Wales are 30th, the Netherlands are 10th and France are 11th.The draw means Wiegman must face her native Netherlands, who she led to victory at Euro 2017 and a runner-up finish at the 2019 World Cup.Rhian Wilkinson's Walesbeat the Republic of Ireland 3-2 on aggregatein a play-off to reach their first major women's tournament.England booked their place by finishing as runners-up in their qualification group, behind France.The 16-team European Championship takes place across eight venues in Switzerland from 2-27 July.Prize money has more than doubled for the tournament, with the total pot now standing at Â£34m (41m euros), a 156% increase from Euro 2022. Group A:Switzerland, Norway, Iceland, Finland.Group B:Spain, Portugal, Belgium, Italy.Group C:Germany, Poland, Denmark, Sweden.Group D:France,England,Wales, Netherlands. Group stage matchday one: 2-5 JulyGroup stage matchday two: 6-9 JulyGroup stage matchday three: 10-13 JulyQuarter-finals: 16-19 JulySemi-finals: 22-23 JulyFinal: 27 July"
US players to be paid Â£400k for playing in Ryder Cup,https://www.bbc.com/sport/golf/articles/clyg859jed5o,"Players on next year's United States Ryder Cup team will be paid to compete after a package was agreed by the PGA of America.It will be the first time in the 98-year history of the matches that either side has been paid to play.The 12 players will each receive $500,000 (Â£400,000), with $300,000 (Â£240,000) donated to a charity or charities chosen by each member of the team.The PGA of America, which organises the event, approved the package despite saying ""no players asked to be compensated"".Six players will qualify automatically via the US Ryder Cup points list and captain Keegan Bradley will make six wildcard selections.""The players and captains, past and present, are responsible for the Ryder Cup becoming the most special competition in golf and one of the most in-demand events on the international sports scene,"" the PGA of America said in a statement.Last year's contest in Rome was marked by Patrick Cantlay not wearing the American team cap in what wasreported to be a protest,externalat the fact the players were not being remunerated to compete.Europe's Rory McIlroy said last month he would pay to play in the matches, which will be held at Bethpage in New York.""I personally would pay for the privilege to play on the Ryder Cup,""McIlroy told BBC Sport.""The two purest forms of competition in our game right now are the Ryder Cup and the Olympics, and it's partly because of that, the purity of no money being involved."" Europe won the 2023 Ryder Cupin Rome, where Cantlay's cap stance led to home fans removing their headwear as he approached in an attempt to taunt the American.It ultimately led to a spat between McIlroy and Cantlay's caddie Joe LaCava, who waved his cap close to the Northern Irishman as he lined up a putt after his player had holed a long effort on the 18th in a match against the four-time major champion and Matt Fitzpatrick.That episode spilled into angry scenes in the car park at Marco Simone afterwards, which McIlroy and captain Luke Donald said fired up Europe for Sunday's singles.""I don't think any of the 24 players on either team needs 400 grand,"" McIlroy said.""Every two years, there are 104 weeks and 103 weeks you can play golf and get paid.""Europe, who have not won on American soil since 2012, will again be captained in 2025 by Donald."
Does sacking a manager help you avoid relegation?,https://www.bbc.com/sport/football/articles/c0kv7ym5k2vo,"Two of the clubs in the Premier League decided to roll the dice on Sunday by sacking their managers.Southampton, nine points adrift and bottom, axed Russell Martin - the manager who got them promoted last season.Wolves, five points off safety, sacked Gary O'Neil after a season and a half in charge.But does sacking a manager help to bring about survival when a team are in the relegation zone? Not counting this season, there have been 91 times when a team have parted company with their manager while in the drop zone - and on 36 of those occasions they avoided relegation.That is a success rate of 40%, so we know the difficult decision can work.Of those 36 cases, five of the teams were exactly five points adrift when the manager left, like Wolves.Sam Allardyce kept up two of those five teams - Blackburn in 2008-09 and Sunderland in 2015-16.Tony Parkes, as a caretaker, saved Blackburn from such a perilous position in 1996-97, while Harry Redknapp saw Tottenham to safety in 2008-09.Tony Pulis helped Crystal Palace avoid the drop in 2013-14, although by the time he took over from caretaker Keith Millen they were only three points off safety.Only one of those five instances happened this late in a season, though - when Blackburn sacked Paul Ince on 16 December 2008 and hired Allardyce two days later.The other four changes with teams five points adrift all happened in October.One good omen for Wolves is that they were the second most recent team who changed managers while in the bottom three and stayed up.That was when Julen Lopetegui replaced Bruno Lage - via Steve Davis' caretaker spell - just before the 2022 World Cup. Um...No team have ever had a change of manager when nine points adrift (or anything more than five points) and stayed up.In fact, only two teams have ever stayed up after being nine points or more from safety at any stage of the season.They are Blackburn in 1996-97 - a week or so after Parkes replaced Ray Harford - and West Ham in 2006-07.The Hammers, who replaced Alan Pardew with Alan Curbishley earlier that season, were 10 points adrift with nine games to go - but they won seven of those to stay up.Changing manager while in the drop zone has worked for Southampton three times - when Ian Branfoot left in 1993-94, Stuart Gray left in 2001-02 and Mark Hughes exited in 2018-19.But the tactic failed for them twice in 2022-23 when first Ralph Hasenhuttl in November and then Nathan Jones in February left.But in none of those instances were they in this big of a mess.We also now know Southampton will be bottom of the table at Christmas - with only four previous teams having survived from that position in Premier League history.West Bromwich Albion (2004-05), Sunderland (2013-14), Leicester (2014-15) and Wolves (2022-23) are the four sides to manage it. Looking more recently - in the five seasons previous to this campaign, 16 teams parted company with their manager while in the relegation zone. Only five of them stayed up.Last season the same three teams spent most of the season in the bottom three - Burnley, Luton and Sheffield United.The Blades changed manager but the other two did not - and they all went down."
UK Sport invests record Â£330m for 2028 LA Games,https://www.bbc.com/sport/olympics/articles/cjr2lgj0x31o,"Elite sport funding body UK Sport says it will invest a record Â£330m in Britain's Olympic and Paralympic sports for the 2028 Games in Los Angeles.More than 50 sports will benefit, though athletics has had its budget reduced for the second cycle running.Five new sports for the 2028 Games - baseball/softball, flag football, lacrosse, Para-climbing and squash - have all received funding.Breaking, which featured for the first time at the Paris Games this summer, is no longer eligible for support after it was axed from the Olympic programme.The total figure will top Â£400m with the addition of athlete performance awards (APAs), which are paid directly to individual athletes and contribute to their living and sporting costs so they can focus on competing - about Â£70m was awarded in APAs in the Paris funding cycle, which totalled Â£385m.Sally Munday, chief executive officer of UK Sport, told BBC Sport funding should not be looked at as either a ""reward"" or a ""punishment"" for performances at the Paris Games.""The decision that we've made against all the sports is we've looked at their potential,"" said Munday.""UK Athletics will receive in excess of Â£30m for the Olympic and Paralympic programmes and we believe that's going to put them in a great place to support their athletes in the lead into LA.""Jack Buckner, CEO of UK Athletics, said the organisation was ""disappointed"" with the decision to reduce the sport's share by Â£1.725m, and highlighted the 10 medals at both the World Championships in 2023 and this year's Olympics ""deserved a higher level of investment"".Canoeing was another sport to have its funding cut, by more than Â£500,000. When the total funding for the Paris 2024 cycle is taken into account, modern pentathlon and equestrian have received a smaller budget, but rowing has increased to Â£24.85m from Â£22.72m, despite a cut between Tokyo and Paris.Meanwhile, British Basketball Federation chair Chris Grant said the sport ""has entered a new era"" with an award of Â£2.925m, primarily to help develop the 3x3 format of the game.Great Britain won 65 medals at this year's Games and 124 medals at the Paralympics.They finished seventh in the Olympic medal table, behind the Netherlands in sixth and fifth-placed France, but Munday said the aim is to be ""consistently top five"".""We'll be really forensic - were there contributing factors that we could do differently to make sure that we don't find ourselves in that position again?"" said Munday.""We will be leaving no stone unturned to make sure that we've really understood what the factors are as to why we came seventh. But we're very clear we want to be consistently top five."""
Stokes blow compounds England slide towards defeat,https://www.bbc.com/sport/cricket/articles/cdxzlr1790xo,"Third Test, Hamilton (day three of five)New Zealand 347(Santner 76; Potts 4-90)& 453(Williamson 156, Young 60, Mitchell 60)England 143(Henry 4-48, Santner 3-7, O'Rourke 3-33)& 18-2England need 640 runs to winScorecard England's slide towards a massive defeat in the third Test against New Zealand was compounded by a concerning recurrence of Ben Stokes' hamstring injury.Stokes was in visible distress as he left the field clutching the same left hamstring he injured in August, subsequently missing four Tests.The captain was bowling his third over of the third day, midway through the afternoon session. He pulled up in the follow-through of his second delivery, went straight to the dressing room and did not return for the remainder of the New Zealand second innings. The all-rounder will have a scan overnight.Even before Stokes was injured, England were staring down the barrel as an inevitable Kane Williamson century built New Zealand's monstrous lead.After rain delayed play by two and a half hours, Williamson moved to 156. He added 107 with Rachin Ravindra, who made 44, and another 92 with Daryl Mitchell, who helped himself to 60.When New Zealand were finally bowled out for 453, England's target was a world-record and improbable 658.England were left six overs to bat, in which time Ben Duckett played an awful hack to drag on off the retiring Tim Southee and Zak Crawley was lbw to his tormentor Matt Henry.The tourists will resume on 18-2 when play gets under way at the earlier time of 10:30 (21:30 GMT Monday) on day four.Dry weather is forecast for days four and five, giving New Zealand plenty of time to salvage a consolation victory from a series England have already won.For England, the bigger worry is Stokes' fitness. This is a devastating blow for Stokes, whose progress from left-knee surgery at the end of last year has now been hit by two hamstring injuries in the space of five months.The first, sustained playing for Northern Superchargers in The Hundred, ruled him out of the home series against Sri Lanka and first Test in Pakistan. Stokes later admitted the mental toll the battle to get fit in Pakistan took on him, made worse by a break-in at his home while he was away.The captain has looked near to his best in New Zealand, the country of his birth, both as a leader and a player.The 33-year-old had been able to play a full role as a fourth seamer, but it is the repeat injury after such a bowling workload that is the cause for alarm.The 23 overs he bowled on the first day of this Test are the most he has bowled in a single day, his 36.2 overs in the match his most since June 2022 and the 66.1 overs in the series his most as captain.Stokes pulled up with a back problem during the first Test in Christchurch, though was able to stay on the field. His immediate reaction here was an instant indication of the severity of the issue.As Ravindra hoiked to mid-on, Stokes hobbled off, covering his face as he left. Ollie Pope, already standing-in as wicketkeeper, took over as captain.Stokes had treatment and will be assessed further before England make a decision on whether he bats in the second innings.His spell with MI Cape Town in the SA T20 in January will surely be cancelled and any slim prospect of a return to the England one-day team for the Champions Trophy is over. More important are the questions over his long-term prospects as a Test bowler. When New Zealand resumed on 136-3, leading by 340, England's prospects were already bleak and Williamson mercilessly removed any semblance of hope.On his home ground, Williamson racked up his seventh century and nudged his average at Seddon Park to 94.94. From 50 overnight, he was watchful and correct, mainly waiting for England to drop short in order to cut to the square boundary.On 73, Williamson survived the tightest lbw shout from Brydon Carse and on 80 miscued Shoaib Bashir over Carse at mid-wicket. On 86, a pull at a Stokes bouncer was parried by Pope flying down the leg side. It would have been a magnificent catch.When Stokes was injured he was replaced in the attack by left-arm spinner Jacob Bethell, whom Williamson hit for six over long-on to go to his 33rd Test hundred. The action simply became about how many runs New Zealand wanted to amass.Williamson seemed nailed for a double, only to sweep Bashir to sub fielder Rehan Ahmed at deep square leg. Mitchell holed out to long-off to become Bethell's first Test wicket.The futility of New Zealand continuing to grow their lead bordered on farce. England spared their seamers and Harry Brook bowled with the second new ball.The crowd chanted for Southee and got their wish after Mitchell Santner was out for 49, including five sixes. England gave Southee his second guard of honour of the match, his quest to add to his 98 career sixes ended by lofting Bethell to long-on. Next ball, Bethell bowled Henry to end with 3-72.Zak Crawley overturned being given out leg before to Henry from the fifth ball of the innings, before Duckett's ridiculous charge at Southee.There was still time for Henry to get Crawley for the sixth time in six innings in the series. Crawley ends with a series average of 8.66 â no England opener has ever batted as much in a single series and ended with a lower average."
Austria striker's skull is fractured during attack,https://www.bbc.com/sport/football/articles/cpvnjp4p407o,"Austria striker Guido Burgstaller had his skull fractured when he was attacked in the centre of the country's capital city, his club Rapid Vienna have said.Rapid said the 35-year-old is expected to be out of action for several months after suffering the ""serious head injury"" at the weekend.They say the former Cardiff City forward was attacked by an ""unknown man"" and fractured his skull as he fell following a ""brutal blow"".The 35-year-old, capped 26 times by Austria, was examined at the scene before being taken to hospital, where he will remain for the next few days.In a statement, Rapid said they ""trust in the responsible authorities that the as-yet-unknown perpetrator will be brought to justice quickly"".Burgstaller joined Cardiff from Rapid in 2014, becoming Ole Gunnar Solskjaer's second signing for the Welsh club.He made just three appearances for the Bluebirds before joining German club Nurnberg.Burgstaller also played in Germany for Schalke and St Pauli before returning to Rapid in 2022.He was one of three Austria players dropped by manager Ralf Rangnick in 2023 after they were filmed singing homophobic chants following a 3-0 win against city rivals Austria Vienna."
Australia on top against India but rain ruins day three,https://www.bbc.com/sport/cricket/articles/c5y49rqzdyjo,"Border-Gavaskar Trophy: Third Test, Brisbane (day three of five)Australia 445:Head 152, Smith 101, Carey 70; Bumrah 6-76India 51-4:Starc 2-25Australia lead by 394 runsScorecard Australia's seamers ensured they stayed in control of the third Test against India, despite rain decimating much of day three in Brisbane.The hosts added 40 runs, either side of a rain delay, to their overnight 405-7, with Alex Carey the last man out for 70.India's reply was delayed by more rain, before they slipped to 22-3.Yashasvi Jaiswal hit Mitchell Starc for four off the first ball of the innings, but was caught at mid-wicket next ball.Shubman Gill was superbly caught at gully by Mitchell Marsh, before Virat Kohli feathered Josh Hazlewood behind.The rain returned as Rishabh Pant was walking to the crease and then much of the afternoon and evening session was wiped out by more precipitation, a wet outfield and bad light.There were four spells of cricket - with each lasting 11, 23, seven and 17 balls respectively.Pant was dismissed in the third of those, edging Pat Cummins behind, before KL Rahul and Rohit Sharma guided India to 51-4 at stumps.While 98 overs can be bowled on each of the remaining days, a result may be difficult to achieve withmore rain forecast.The five-match series is level at 1-1 afterAustralia's 10-wicket win in Adelaidelast week.India must win at least two of the final three Tests to guarantee a place in June's World Test Championship final at Lord's.Defending champions Australia will reach the final if they win two of the remaining Tests."
Allen stars in Bills epic & Mahomes limps out of Chiefs win,https://www.bbc.com/sport/american-football/articles/c70ex875l27o,"Josh Allen produced another sensational display in another Buffalo Bills epic on Sunday, while the Kansas City Chiefs' latest victory may have come at a huge cost.The defending champions enjoyed their biggest win of the season but saw star quarterback Patrick Mahomes limp out of the game with a worrying ankle injury.Buffalo have no such worries over their own superstar Allen, who again showed why he is the Most Valuable Player favourite as the Bills ended the Detroit Lions' 11-game winning run in another high-scoring thriller.The Pittsburgh Steelers lost at the Philadelphia Eagles but still secured their spot in the play-offs, as did the Houston Texans, while the Minnesota Vikings joined them without even playing. Just a week after losing 44-42 at the Rams, Josh Allen and the Buffalo Bills came out on top this time in another blockbuster - edging the Lions 48-42 in Detroit.Billed as a potential Super Bowl preview, the top two scorers in the NFL put on a show worthy of the big game, with their two banged-up defences unable to shackle Allen or Lions quarterback Jared Goff.Goff threw five touchdowns but was always playing from behind after Allen's two quick rushing scores early on - as the Bills equalled an NFL record with eight straight games scoring 30 points or more.They are also just the second team to score and concede 40 points in back-to-back games.If this fixture is repeated in the Super Bowl it would be some spectacle, but both sides need to solve some defensive issues if they are to make it to New Orleans in February. The 11-3 Bills are the only team to beat the 13-1 Chiefs and will now fancy pipping them to the AFC top seed after the champions saw Mahomes limp out late in their 21-7 victory at the Cleveland Browns.The Chiefs have won 10 games this season by one score - six of those coming on the final play of the game - so this was their most comfortable victory of the campaign.""I feel like I could have finished the game in different circumstances,"" Mahomes said after the Chiefs opted to send back-up Carson Wentz in to finish the game.Head coach Andy Reid confirmed Mahomes' ankle was not broken, but the timing is tough with the Chiefs playing on Saturday, 21 December against Houston and then in a Christmas Day visit to Pittsburgh.With home advantage and a crucial bye week at stake in their race with the Bills, there will be a lot riding on further medical tests on Mahomes' ankle on Monday. The Pittsburgh Steelers have now lost 11 straight games in Philadelphia as the Eagles won the latest battle for Pennsylvania 27-13 - and a team record 10th straight victory of the season.Jalen Hurts finally got the Eagles' passing attack moving a week after receivers AJ Brown and DeVonta Smith's public criticism, with opposition quarterback Russell Wilson having all the production problems this week.The Steelers did secure a play-off place despite the defeat, but their top spot in the AFC North is under threat after the Baltimore Ravens dominated the New York Giants 35-14 to close the gap.Lamar Jackson threw five touchdown passes before next week's huge showdown against the Steelers in Baltimore - with Pittsburgh also sweating over defensive star TJ Watt who injured his ankle against the Eagles.The Houston Texans won a second straight AFC South title after beating the Dolphins 20-12 - in a game overshadowed by a serious injury to Miami receiver Grant DuBose, who was driven off on a stretcher in a neck brace after 10 minutes of treatment following a blow to the head.Head coach Mike McDaniel said DuBose would remain in hospital overnight after ""some positive feedback"" on his head and neck injuries. Jordan Love and the Green Bay Packers impressed with a comprehensive 30-13 win in Seattle, which saw the Seahawks lose top spot in the NFC West and drop out of the play-off places altogether.At 10-4, only five teams in the entire NFL have a better record than the Packers, but two of those are in Green Bay's division - so a wildcard looks their most likely route to the play-offs.The Packers helped one of their rivals out, with the Minnesota Vikings bagging a play-off spot before their Monday night game thanks to Seattle losing.The divisional system is helping out the Tampa Bay Buccaneers, who improved to just 8-6 with a 40-17 victory over the Los Angeles Chargers and that is good enough to top the weaker NFC South. The Washington Commanders led 20-7 in the fourth quarter but had to survive a late onslaught at the New Orleans Saints, with back-up quarterback Spencer Rattler throwing a touchdown pass as time expired.Trailing by a point, interim head coach Darren Rizzi went for a two-point conversion and instant win instead of settling for overtime, but the try just failed, allowing Washington to escape 20-19.Indianapolis Colts running back Jonathan Taylor was left red faced when he casually dropped the ball after scoring a touchdown - only for a video replay to spot he did so just inches before the line.That cost the Colts dearly as they went on to lose 31-13 at the Denver Broncos.Joe Burrow threw another three touchdown passes as the Cincinnati Bengals beat the Tennessee Titans 37-27 in a game filled with mistakes.The two teams combined for 10 turnovers and 26 penalties in a coach's nightmare of a game.Aaron Rodgers and Davante Adams rolled back the years as the New York Jets beat the slumping Jacksonville Jaguars 32-25 - with Adams becoming the 12th player with 100 receiving touchdowns in NFL history.The Jets are already out of play-off contention but Rodgers and Adams gave a glimpse of what they could possibly do next season if both stay with the team.Micah Parsons inspired the Dallas Cowboys to a comfortable win at the Carolina Panthers and the Arizona Cardinals ended a three-game losing run by beating the New England Patriots. Buffalo Bills 48-42 Detroit LionsIndianapolis Colts 13-31 Denver BroncosPittsburgh Steelers 13-27 Philadelphia EaglesTampa Bay Buccaneers 40-17 Los Angeles ChargersNew England Patriots 17-30 Arizona CardinalsKansas City Chiefs 21-7 Cleveland BrownsCincinnati Bengals 37-27 Tennessee TitansWashington Commanders 20-19 New Orleans SaintsBaltimore Ravens 35-14 New York GiantsDallas Cowboys 30-14 Carolina PanthersNew York Jets 32-25 Jacksonville JaguarsMiami Dolphins 12-20 Houston TexansGreen Bay Packers 30-13 Seattle SeahawksChicago Bears @ Minnesota Vikings (01:00 GMT Tuesday)Atlanta Falcons @ Las Vegas Raiders (01:30 GMT Tuesday)"
